field_name,type,mode
CattleListingID,INTEGER,NULLABLE
CattleID,INTEGER,NULLABLE
CattleDescription,STRING,NULLABLE
Price,FLOAT,NULLABLE
Location,STRING,NULLABLE
lat,FLOAT,NULLABLE
long,FLOAT,NULLABLE
CreatedOn,TIMESTAMP,NULLABLE
IsWithdrawn,BOOLEAN,NULLABLE
IsSold,BOOLEAN,NULLABLE
PregnancyStatus,BOOLEAN,NULLABLE
MonthsOfPregnancy,FLOAT,NULLABLE
MilkAvg,FLOAT,NULLABLE
SNF,FLOAT,NULLABLE
FAT,FLOAT,NULLABLE
CreatedBy,INTEGER,NULLABLE
Transportation,STRING,NULLABLE
TransportTypeID,FLOAT,NULLABLE
TagNo,FLOAT,NULLABLE
CattleName,STRING,NULLABLE
Age,FLOAT,NULLABLE
TotalCalving,FLOAT,NULLABLE
CattleBreedName,FLOAT,NULLABLE
CattleBreedID,FLOAT,NULLABLE
CattleTypeName,FLOAT,NULLABLE
CattleTypeID,FLOAT,NULLABLE
StatusName,FLOAT,NULLABLE
StatusID,FLOAT,NULLABLE
SellerName,STRING,NULLABLE
SellerContact,INTEGER,NULLABLE
SaleDate,TIMESTAMP,NULLABLE
totalBuyers,FLOAT,NULLABLE
Wishlisted,BOOLEAN,NULLABLE
lat_long,STRING,NULLABLE
gmap_lat,FLOAT,NULLABLE
gmap_long,FLOAT,NULLABLE
lat_long_gmap,STRING,NULLABLE
gmap_pincode,INTEGER,NULLABLE
Distance,FLOAT,NULLABLE
gmap_district,STRING,NULLABLE
gmap_state,STRING,NULLABLE
gmap_lat_long,STRING,NULLABLE
gmap_district_state,STRING,NULLABLE
gmap_pincode_district_state,STRING,NULLABLE
month_of_sale,STRING,NULLABLE
week_of_sale,STRING,NULLABLE
year_of_sale,FLOAT,NULLABLE
weekday,STRING,NULLABLE
week_start_date,STRING,NULLABLE
week_end_date,STRING,NULLABLE
sale_day,STRING,NULLABLE
sale_week,STRING,NULLABLE
business_week_name,STRING,NULLABLE
days_to_sell,FLOAT,NULLABLE
