pincode,district,state,lat_location,long_location
362520,DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,20.71418085,70.96878569
362540,DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,20.7260366,70.9843583
362570,DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,20.72116462,70.91300628
221705,MAU,UTTAR PRADESH,25.9153381,83.6055732
221706,MAU,UTTAR PRADESH,25.9300808,83.7411631
276306,MAU,UTTAR PRADESH,26.1899076,83.5740069
275301,MAU,UTTAR PRADESH,26.1396143,83.4883578
275302,MAU,UTTAR PRADESH,26.0525471,83.5094557
275303,MAU,UTTAR PRADESH,26.2685718,83.5383546
275304,MAU,UTTAR PRADESH,26.202774,83.4870246
