field_name,type,mode
SalesOrder_ID,INTEGER,NULLABLE
Customer_Name,STRING,NULLABLE
Customer_ID,FLOAT,NULLABLE
current_sub_status_id,STRING,NULLABLE
current_sub_status,STRING,NULLABLE
SalesOrder_Number,STRING,NULLABLE
Order_Date,DATE,NULLABLE
Expected_Shipment_Date,DATE,NULLABLE
shipment_days,STRING,NULLABLE
due_by_days,FLOAT,NULLABLE
due_in_days,FLOAT,NULLABLE
currency_id,INTEGER,NULLABLE
Currency_Code,STRING,NULLABLE
Total,FLOAT,NULLABLE
bcy_total,FLOAT,NULLABLE
total_invoiced_amount,FLOAT,NULLABLE
is_emailed,BOOLEAN,NULLABLE
quantity,FLOAT,NULLABLE
quantity_invoiced,FLOAT,NULLABLE
quantity_packed,FLOAT,NULLABLE
quantity_shipped,FLOAT,NULLABLE
Order_Status,STRING,NULLABLE
invoiced_status,STRING,NULLABLE
is_manually_fulfilled,BOOLEAN,NULLABLE
Sales_Channel,STRING,NULLABLE
Sales_Person,STRING,NULLABLE
Branch_ID,FLOAT,NULLABLE
Branch_Name,STRING,NULLABLE
CF_Reason_for_cancel,STRING,NULLABLE
reference_number,STRING,NULLABLE
