field_name,type,mode
Id,INTEGER,NULLABLE
Modified_Time,TIMESTAMP,NULLABLE
Owner,INTEGER,NULLABLE
Lead_Source,STRING,NULLABLE
First_Name,STRING,NULLABLE
Last_Name,STRING,NULLABLE
Full_Name,STRING,NULLABLE
Account_Name,INTEGER,NULLABLE
Vendor_Name,STRING,NULLABLE
Email,STRING,NULLABLE
Campaign_Source,STRING,NULLABLE
Title,STRING,NULLABLE
Department,STRING,NULLABLE
Phone,STRING,NULLABLE
Home_Phone,STRING,NULLABLE
Other_Phone,STRING,NULLABLE
Fax,STRING,NULLABLE
Mobile,INTEGER,NULLABLE
Date_of_Birth,STRING,NULLABLE
Assistant,STRING,NULLABLE
Asst_Phone,STRING,NULLABLE
Email_Opt_Out,BOOLEAN,NULLABLE
Skype_ID,STRING,NULLABLE
Created_By,INTEGER,NULLABLE
Modified_By,INTEGER,NULLABLE
Created_Time,TIMESTAMP,NULLABLE
Salutation,STRING,NULLABLE
Secondary_Email,STRING,NULLABLE
Currency,STRING,NULLABLE
Exchange_Rate,FLOAT,NULLABLE
Last_Activity_Time,TIMESTAMP,NULLABLE
Twitter,STRING,NULLABLE
Layout,INTEGER,NULLABLE
Lead_Score,INTEGER,NULLABLE
Tag,STRING,NULLABLE
Mailing_Street,STRING,NULLABLE
Other_Street,STRING,NULLABLE
Mailing_City,STRING,NULLABLE
Other_City,STRING,NULLABLE
Mailing_State,STRING,NULLABLE
Other_State,STRING,NULLABLE
Mailing_Zip,INTEGER,NULLABLE
Other_Zip,STRING,NULLABLE
Mailing_Country,STRING,NULLABLE
Other_Country,STRING,NULLABLE
Description,STRING,NULLABLE
Score,INTEGER,NULLABLE
Positive_Score,INTEGER,NULLABLE
Negative_Score,INTEGER,NULLABLE
Touch_Point_Score,INTEGER,NULLABLE
Positive_Touch_Point_Score,INTEGER,NULLABLE
Negative_Touch_Point_Score,INTEGER,NULLABLE
Record_Image,STRING,NULLABLE
LAST_ACTION,STRING,NULLABLE
LAST_SENT_TIME,STRING,NULLABLE
LAST_ACTION_TIME,STRING,NULLABLE
Reporting_To,STRING,NULLABLE
User_Modified_Time,TIMESTAMP,NULLABLE
System_Related_Activity_Time,TIMESTAMP,NULLABLE
User_Related_Activity_Time,TIMESTAMP,NULLABLE
System_Modified_Time,TIMESTAMP,NULLABLE
Record_Approval_Status,INTEGER,NULLABLE
Is_Record_Duplicate,BOOLEAN,NULLABLE
Unsubscribed_Mode,STRING,NULLABLE
Unsubscribed_Time,STRING,NULLABLE
Territories,STRING,NULLABLE
Change_Log_Time__s,STRING,NULLABLE
Business_Type,STRING,NULLABLE
Lost_Reason,STRING,NULLABLE
Lead_Verified,STRING,NULLABLE
Active_Inactive_Customer,STRING,NULLABLE
Locked__s,BOOLEAN,NULLABLE
Check_in_date,STRING,NULLABLE
Last_Enriched_Time__s,STRING,NULLABLE
Enrich_Status__s,STRING,NULLABLE
Unique_id,STRING,NULLABLE
Phone_number,INTEGER,NULLABLE
