field_name,type,mode
Id,INTEGER,NULLABLE
Modified_Time,TIMESTAMP,NULLABLE
Owner,INTEGER,NULLABLE
Company,STRING,NULLABLE
First_Name,STRING,NULLABLE
Last_Name,STRING,NULLABLE
Full_Name,STRING,NULLABLE
Designation,STRING,NULLABLE
Email,STRING,NULLABLE
Phone,FLOAT,NULLABLE
Fax,STRING,NULLABLE
Mobile,FLOAT,NULLABLE
Website,STRING,NULLABLE
Lead_Source,STRING,NULLABLE
Lead_Status,STRING,NULLABLE
Industry,STRING,NULLABLE
No_of_Employees,STRING,NULLABLE
Annual_Revenue,FLOAT,NULLABLE
Rating,STRING,NULLABLE
Campaign_Source,STRING,NULLABLE
Email_Opt_Out,BOOLEAN,NULLABLE
Skype_ID,STRING,NULLABLE
Created_By,INTEGER,NULLABLE
Modified_By,INTEGER,NULLABLE
Created_Time,TIMESTAMP,NULLABLE
Salutation,STRING,NULLABLE
Secondary_Email,STRING,NULLABLE
Currency,STRING,NULLABLE
Exchange_Rate,FLOAT,NULLABLE
Last_Activity_Time,TIMESTAMP,NULLABLE
Twitter,STRING,NULLABLE
Layout,INTEGER,NULLABLE
Tag,STRING,NULLABLE
Street,STRING,NULLABLE
City,STRING,NULLABLE
State,STRING,NULLABLE
Zip_Code,STRING,NULLABLE
Country,STRING,NULLABLE
Description,STRING,NULLABLE
Score,INTEGER,NULLABLE
Positive_Score,INTEGER,NULLABLE
Negative_Score,INTEGER,NULLABLE
Touch_Point_Score,INTEGER,NULLABLE
Positive_Touch_Point_Score,INTEGER,NULLABLE
Negative_Touch_Point_Score,INTEGER,NULLABLE
Record_Image,STRING,NULLABLE
LAST_ACTION,STRING,NULLABLE
LAST_SENT_TIME,STRING,NULLABLE
LAST_ACTION_TIME,STRING,NULLABLE
User_Modified_Time,TIMESTAMP,NULLABLE
System_Related_Activity_Time,TIMESTAMP,NULLABLE
User_Related_Activity_Time,TIMESTAMP,NULLABLE
System_Modified_Time,TIMESTAMP,NULLABLE
Converted_Date_Time,STRING,NULLABLE
Record_Approval_Status,INTEGER,NULLABLE
Is_Record_Duplicate,BOOLEAN,NULLABLE
Lead_Conversion_Time,STRING,NULLABLE
Unsubscribed_Mode,STRING,NULLABLE
Unsubscribed_Time,STRING,NULLABLE
Converted_Account,STRING,NULLABLE
Converted_Contact,STRING,NULLABLE
Converted_Deal,STRING,NULLABLE
Territories,STRING,NULLABLE
Change_Log_Time__s,STRING,NULLABLE
Converted__s,BOOLEAN,NULLABLE
_converted,BOOLEAN,NULLABLE
Business_Type,STRING,NULLABLE
Lost_Reason,STRING,NULLABLE
Lead_Verified,STRING,NULLABLE
All_Activities_Closed,BOOLEAN,NULLABLE
Father_s_Name,STRING,NULLABLE
Nick_Name,STRING,NULLABLE
Locked__s,BOOLEAN,NULLABLE
Mobile_Number,STRING,NULLABLE
Pin_Code_Shipping_Order,STRING,NULLABLE
Feedback,STRING,NULLABLE
Sales_Order_Number,STRING,NULLABLE
Customer_Name,STRING,NULLABLE
Item_Name,STRING,NULLABLE
Issue,STRING,NULLABLE
Customer_Interested,STRING,NULLABLE
Check_in_Date,STRING,NULLABLE
Last_Enriched_Time__s,STRING,NULLABLE
Enrich_Status__s,STRING,NULLABLE
Buffaloes_Required,INTEGER,NULLABLE
Expected_Milk_Yield,STRING,NULLABLE
Price_Range,STRING,NULLABLE
Byat,STRING,NULLABLE
Kitne_Din_ki_Byahi,STRING,NULLABLE
Kad_Kathi,STRING,NULLABLE
District,STRING,NULLABLE
Village_City,STRING,NULLABLE
Close_Date,STRING,NULLABLE
Pregnancy_Status,STRING,NULLABLE
Calf_Gender,STRING,NULLABLE
Test,STRING,NULLABLE
Current_Status,STRING,NULLABLE
Expected_Timeline,STRING,NULLABLE
Phone_number,INTEGER,NULLABLE
