field_name,type,mode
Id,INTEGER,NULLABLE
Modified_Time,TIMESTAMP,NULLABLE
Owner,INTEGER,NULLABLE
Subject,STRING,NULLABLE
Due_Date,DATE,NULLABLE
Who_Id,INTEGER,NULLABLE
What_Id,INTEGER,NULLABLE
Status,STRING,NULLABLE
Priority,STRING,NULLABLE
Closed_Time,TIMESTAMP,NULLABLE
Send_Notification_Email,BOOLEAN,NULLABLE
Recurring_Activity,STRING,NULLABLE
Remind_At,STRING,NULLABLE
Created_By,INTEGER,NULLABLE
Modified_By,INTEGER,NULLABLE
Created_Time,TIMESTAMP,NULLABLE
Currency,STRING,NULLABLE
Exchange_Rate,FLOAT,NULLABLE
Layout,INTEGER,NULLABLE
Tag,STRING,NULLABLE
Description,STRING,NULLABLE
User_Modified_Time,TIMESTAMP,NULLABLE
System_Related_Activity_Time,STRING,NULLABLE
User_Related_Activity_Time,STRING,NULLABLE
System_Modified_Time,TIMESTAMP,NULLABLE
Locked__s,BOOLEAN,NULLABLE
Issue,STRING,NULLABLE
Sales_Order_Number,STRING,NULLABLE
Item_Name,STRING,NULLABLE
Pin_Code_Shipping_Order,STRING,NULLABLE
Feedback,STRING,NULLABLE
Mobile_Number,INTEGER,NULLABLE
_se_module,STRING,NULLABLE
What_Id_name,STRING,NULLABLE
