field_name,type,mode
Purchase_Order_ID,INTEGER,NULLABLE
Purchase_Order_Date,DATE,NULLABLE
Branch_Name,STRING,NULLABLE
Delivery_Date,DATE,NULLABLE
Purchase_Order_Number,STRING,NULLABLE
Purchase_Order_Status,STRING,NULLABLE
Vendor_Name,STRING,NULLABLE
Source_of_Supply,STRING,NULLABLE
Destination_of_Supply,STRING,NULLABLE
Item_Price,FLOAT,NULLABLE
Item_Name,STRING,NULLABLE
SKU,STRING,NULLABLE
QuantityOrdered,FLOAT,NULLABLE
QuantityCancelled,INTEGER,NULLABLE
QuantityReceived,FLOAT,NULLABLE
QuantityBilled,FLOAT,NULLABLE
Item_Total,FLOAT,NULLABLE
Warehouse_Name,STRING,NULLABLE
