dataset_id,table_id,table_type,clustering_fields,created,expires,friendly_name,full_table_id,partition_expiration,partitioning_type,path,project,reference,time_partitioning,view_use_legacy_sql
analytics_274239098,ds_tod_dow_full_view,view,,2023-01-31 18:57:56.395000+00:00,,,hubemployee-189ad:analytics_274239098.ds_tod_dow_full_view,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/ds_tod_dow_full_view,hubemployee-189ad,hubemployee-189ad.analytics_274239098.ds_tod_dow_full_view,,False
analytics_274239098,events_intraday_20210828,table,,2021-08-28 04:32:17.050000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210828,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210828,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210828,,
analytics_274239098,events_intraday_20210829,table,,2021-08-29 09:13:11.269000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210829,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210829,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210829,,
analytics_274239098,events_intraday_20210830,table,,2021-08-30 03:10:32.409000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210830,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210830,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210830,,
analytics_274239098,events_intraday_20210831,table,,2021-08-31 03:08:45.982000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210831,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210831,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210831,,
analytics_274239098,events_intraday_20210901,table,,2021-09-01 03:14:00.067000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210901,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210901,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210901,,
analytics_274239098,events_intraday_20210902,table,,2021-09-02 03:40:01.832000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210902,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210902,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210902,,
analytics_274239098,events_intraday_20210903,table,,2021-09-03 02:34:58.562000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210903,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210903,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210903,,
analytics_274239098,events_intraday_20210904,table,,2021-09-04 02:25:29.058000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210904,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210904,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210904,,
analytics_274239098,events_intraday_20210905,table,,2021-09-05 03:32:17.643000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210905,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210905,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210905,,
analytics_274239098,events_intraday_20210906,table,,2021-09-06 02:19:22.700000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210906,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210906,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210906,,
analytics_274239098,events_intraday_20210907,table,,2021-09-07 11:38:10.289000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210907,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210907,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210907,,
analytics_274239098,events_intraday_20210908,table,,2021-09-08 03:31:10.746000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210908,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210908,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210908,,
analytics_274239098,events_intraday_20210909,table,,2021-09-09 02:59:32.803000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210909,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210909,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210909,,
analytics_274239098,events_intraday_20210910,table,,2021-09-10 05:10:56.502000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210910,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210910,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210910,,
analytics_274239098,events_intraday_20210911,table,,2021-09-11 02:30:02.199000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210911,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210911,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210911,,
analytics_274239098,events_intraday_20210912,table,,2021-09-12 02:31:50.752000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210912,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210912,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210912,,
analytics_274239098,events_intraday_20210913,table,,2021-09-13 03:41:38.941000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210913,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210913,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210913,,
analytics_274239098,events_intraday_20210914,table,,2021-09-14 04:48:30.689000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210914,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210914,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210914,,
analytics_274239098,events_intraday_20210915,table,,2021-09-15 04:29:56.708000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210915,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210915,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210915,,
analytics_274239098,events_intraday_20210916,table,,2021-09-16 03:15:37.521000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210916,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210916,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210916,,
analytics_274239098,events_intraday_20210917,table,,2021-09-17 02:07:53.704000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210917,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210917,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210917,,
analytics_274239098,events_intraday_20210918,table,,2021-09-18 07:15:25.557000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210918,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210918,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210918,,
analytics_274239098,events_intraday_20210920,table,,2021-09-20 03:01:38.638000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210920,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210920,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210920,,
analytics_274239098,events_intraday_20210921,table,,2021-09-21 03:12:50.921000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210921,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210921,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210921,,
analytics_274239098,events_intraday_20210922,table,,2021-09-22 03:19:32.447000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210922,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210922,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210922,,
analytics_274239098,events_intraday_20210923,table,,2021-09-23 03:16:42.033000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210923,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210923,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210923,,
analytics_274239098,events_intraday_20210925,table,,2021-09-25 02:29:08.469000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210925,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210925,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210925,,
analytics_274239098,events_intraday_20210927,table,,2021-09-27 05:26:11.693000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210927,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210927,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210927,,
analytics_274239098,events_intraday_20210929,table,,2021-09-29 05:59:58.030000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210929,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210929,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210929,,
analytics_274239098,events_intraday_20210930,table,,2021-09-30 07:07:59.973000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20210930,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20210930,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20210930,,
analytics_274239098,events_intraday_20211002,table,,2021-10-02 02:24:25.567000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211002,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211002,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211002,,
analytics_274239098,events_intraday_20211003,table,,2021-10-03 04:38:47.496000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211003,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211003,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211003,,
analytics_274239098,events_intraday_20211004,table,,2021-10-04 15:05:49.022000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211004,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211004,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211004,,
analytics_274239098,events_intraday_20211005,table,,2021-10-05 03:10:03.634000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211005,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211005,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211005,,
analytics_274239098,events_intraday_20211009,table,,2021-10-09 04:00:50.801000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211009,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211009,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211009,,
analytics_274239098,events_intraday_20211011,table,,2021-10-11 07:15:51.273000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211011,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211011,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211011,,
analytics_274239098,events_intraday_20211012,table,,2021-10-12 03:01:12.814000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211012,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211012,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211012,,
analytics_274239098,events_intraday_20211014,table,,2021-10-14 02:46:51.754000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211014,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211014,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211014,,
analytics_274239098,events_intraday_20211016,table,,2021-10-16 06:18:26.711000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211016,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211016,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211016,,
analytics_274239098,events_intraday_20211018,table,,2021-10-18 10:35:32.869000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211018,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211018,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211018,,
analytics_274239098,events_intraday_20211019,table,,2021-10-19 03:28:49.428000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211019,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211019,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211019,,
analytics_274239098,events_intraday_20211025,table,,2021-10-25 04:39:50.737000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211025,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211025,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211025,,
analytics_274239098,events_intraday_20211026,table,,2021-10-26 03:36:27.208000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211026,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211026,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211026,,
