field_name,type,mode
event_date,STRING,NULLABLE
event_timestamp,INTEGER,NULLABLE
event_name,STRING,NULLABLE
event_params,RECORD,REPEATED
event_previous_timestamp,INTEGER,NULLABLE
event_value_in_usd,FLOAT,NULLABLE
event_bundle_sequence_id,INTEGER,NULLABLE
event_server_timestamp_offset,INTEGER,NULLABLE
user_id,STRING,NULLABLE
user_pseudo_id,STRING,NULLABLE
privacy_info,RECORD,NULLABLE
user_properties,RECORD,REPEATED
user_first_touch_timestamp,INTEGER,NULLABLE
user_ltv,RECORD,NULLABLE
device,RECORD,NULLABLE
geo,RECORD,NULLABLE
app_info,RECORD,NULLABLE
traffic_source,RECORD,NULLABLE
stream_id,STRING,NULLABLE
platform,STRING,NULLABLE
event_dimensions,RECORD,NULLABLE
ecommerce,RECORD,NULLABLE
items,RECORD,REPEATED
