event_date,event_timestamp,event_name,event_params,event_previous_timestamp,event_value_in_usd,event_bundle_sequence_id,event_server_timestamp_offset,user_id,user_pseudo_id,privacy_info,user_properties,user_first_touch_timestamp,user_ltv,device,geo,app_info,traffic_source,stream_id,platform,event_dimensions,ecommerce,items
20221130,1669800966262000,notification_receive,"[{'key': 'message_device_time', 'value': {'string_value': None, 'int_value': 0, 'float_value': None, 'double_value': None}}, {'key': 'message_type', 'value': {'string_value': 'display', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'firebase_event_origin', 'value': {'string_value': 'fcm', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_name', 'value': {'string_value': 'afternoon_3PM', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_id', 'value': {'string_value': '5053920959384992744', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_time', 'value': {'string_value': None, 'int_value': 1669800600, 'float_value': None, 'double_value': None}}]",1669791754037000,,900,76930,,9db1f76afbb3792d82850dd286c537a0,"{'analytics_storage': 'Yes', 'ads_storage': 'Yes', 'uses_transient_token': 'No'}","[{'key': 'first_open_time', 'value': {'string_value': None, 'int_value': 1663063200000, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1663059741356000}}, {'key': 'firebase_last_notification', 'value': {'string_value': '8860802898364026736', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1664516620141000}}, {'key': 'last_gclid', 'value': {'string_value': 'EAIaIQobChMIs-z2q4zs-QIVEgRcCh0FegFsEAEYASAAEgI1sfD_BwE', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1663059744889000}}]",1663059741356000,,"{'category': 'mobile', 'mobile_brand_name': 'Vivo', 'mobile_model_name': 'V2054', 'mobile_marketing_name': 'Y20A', 'mobile_os_hardware_model': 'V2054', 'operating_system': 'Android', 'operating_system_version': 'Android 11', 'vendor_id': None, 'advertising_id': '03851678-db91-44ad-b00d-90b9d80a9ffd', 'language': 'en-us', 'is_limited_ad_tracking': 'No', 'time_zone_offset_seconds': 19800, 'browser': None, 'browser_version': None, 'web_info': None}","{'continent': 'Asia', 'country': 'India', 'region': 'Haryana', 'city': 'Gurgaon', 'sub_continent': 'Southern Asia', 'metro': '(not set)'}","{'id': 'app.merapashu360.buyerapp', 'version': 'Beta 0.1.37', 'install_store': None, 'firebase_app_id': '1:292489922155:android:1470f63f21688e343dd32e', 'install_source': 'com.android.vending'}","{'name': None, 'medium': 'cpc', 'source': 'google'}",3454048667,ANDROID,,,[]
20221115,1668481389203000,notification_receive,"[{'key': 'message_name', 'value': {'string_value': 'morning_8:30AM', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_time', 'value': {'string_value': None, 'int_value': 1668481200, 'float_value': None, 'double_value': None}}, {'key': 'firebase_event_origin', 'value': {'string_value': 'fcm', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_id', 'value': {'string_value': '2420175448232636960', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_device_time', 'value': {'string_value': None, 'int_value': 0, 'float_value': None, 'double_value': None}}, {'key': 'label', 'value': {'string_value': 'primuim_products_discounts', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_type', 'value': {'string_value': 'display', 'int_value': None, 'float_value': None, 'double_value': None}}]",1668477932702000,,649,625602,,b40110eab5138cc212f72e1014d8c408,"{'analytics_storage': 'Yes', 'ads_storage': 'Yes', 'uses_transient_token': 'No'}","[{'key': 'last_gclid', 'value': {'string_value': 'CjwKCAjwx7GYBhB7EiwA0d8oe9uFKszpQ3viQmZycXTtEaLcWPRAyz8PcufJcT2BjK9w3qGxJV7lPBoCwzgQAvD_BwE', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1663863526752000}}, {'key': 'first_open_time', 'value': {'string_value': None, 'int_value': 1663866000000, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1663863524136000}}]",1663863524136000,,"{'category': 'mobile', 'mobile_brand_name': 'Vivo', 'mobile_model_name': '1906', 'mobile_marketing_name': 'Y11 (2019)', 'mobile_os_hardware_model': 'vivo 1906', 'operating_system': 'Android', 'operating_system_version': 'Android 11', 'vendor_id': None, 'advertising_id': 'd1c8a9a5-d278-46b4-8deb-59245e1329d9', 'language': 'en-us', 'is_limited_ad_tracking': 'No', 'time_zone_offset_seconds': 19800, 'browser': None, 'browser_version': None, 'web_info': None}","{'continent': 'Asia', 'country': 'India', 'region': 'Delhi', 'city': 'Delhi', 'sub_continent': 'Southern Asia', 'metro': '(not set)'}","{'id': 'app.merapashu360.buyerapp', 'version': 'Beta 0.1.51', 'install_store': None, 'firebase_app_id': '1:292489922155:android:1470f63f21688e343dd32e', 'install_source': 'com.android.vending'}","{'name': None, 'medium': 'cpc', 'source': 'google'}",3454048667,ANDROID,,,[]
20221018,1666081997380001,notification_dismiss,"[{'key': 'message_name', 'value': {'string_value': 'afternoon_2:00PM', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_device_time', 'value': {'string_value': None, 'int_value': 0, 'float_value': None, 'double_value': None}}, {'key': 'message_id', 'value': {'string_value': '1510917255982450041', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_time', 'value': {'string_value': None, 'int_value': 1665995400, 'float_value': None, 'double_value': None}}, {'key': 'label', 'value': {'string_value': 'App-Update', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'firebase_event_origin', 'value': {'string_value': 'fcm', 'int_value': None, 'float_value': None, 'double_value': None}}]",1666081997376001,,222,733115,,9eb8f25d0a562a3db4d7a08ba62d9c24,"{'analytics_storage': 'Yes', 'ads_storage': 'Yes', 'uses_transient_token': 'No'}","[{'key': 'first_open_time', 'value': {'string_value': None, 'int_value': 1663642800000, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1663641167295000}}, {'key': 'last_gclid', 'value': {'string_value': 'CjwKCAjw6raYBhB7EiwABge5Ktoxwf2FEKZUfLw_nsCg3fV80i32ayL7bJv4pVlsbXQoGmkrQJja-RoCWVgQAvD_BwE', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1663641170512000}}]",1663641167295000,,"{'category': 'mobile', 'mobile_brand_name': 'Xiaomi', 'mobile_model_name': 'Redmi 8', 'mobile_marketing_name': None, 'mobile_os_hardware_model': 'Redmi 8', 'operating_system': 'Android', 'operating_system_version': 'Android 10', 'vendor_id': None, 'advertising_id': '2e316be7-76ee-4cd5-b45b-1e73f110bf9a', 'language': 'en-in', 'is_limited_ad_tracking': 'No', 'time_zone_offset_seconds': 19800, 'browser': None, 'browser_version': None, 'web_info': None}","{'continent': 'Asia', 'country': 'India', 'region': 'Delhi', 'city': 'Delhi', 'sub_continent': 'Southern Asia', 'metro': '(not set)'}","{'id': 'app.merapashu360.buyerapp', 'version': 'Beta 0.1.42', 'install_store': None, 'firebase_app_id': '1:292489922155:android:1470f63f21688e343dd32e', 'install_source': 'com.android.vending'}","{'name': None, 'medium': 'cpc', 'source': 'google'}",3454048667,ANDROID,,,[]
20221021,1666370134507008,notification_dismiss,"[{'key': 'message_device_time', 'value': {'string_value': None, 'int_value': 0, 'float_value': None, 'double_value': None}}, {'key': 'message_time', 'value': {'string_value': None, 'int_value': 1666368000, 'float_value': None, 'double_value': None}}, {'key': 'message_name', 'value': {'string_value': 'evening_9:30PM', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_id', 'value': {'string_value': '9211429857313759983', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'firebase_event_origin', 'value': {'string_value': 'fcm', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'label', 'value': {'string_value': '3_benifits_app', 'int_value': None, 'float_value': None, 'double_value': None}}]",1666370134476008,,514,1037676,7wprtzB92GfCcCS9xgOX5Rbitk22,83c1e364d4796a2d28c99c466e2f02ec,"{'analytics_storage': 'Yes', 'ads_storage': 'Yes', 'uses_transient_token': 'No'}","[{'key': 'first_open_time', 'value': {'string_value': None, 'int_value': 1662210000000, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1662207780120000}}, {'key': 'firebase_last_notification', 'value': {'string_value': '1510823390284645049', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1663905846352000}}, {'key': 'user_id', 'value': {'string_value': '7wprtzB92GfCcCS9xgOX5Rbitk22', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1665328422061000}}]",1662207780120000,,"{'category': 'mobile', 'mobile_brand_name': 'Realme', 'mobile_model_name': 'RMX2040', 'mobile_marketing_name': '6i', 'mobile_os_hardware_model': 'RMX2040', 'operating_system': 'Android', 'operating_system_version': 'Android 10', 'vendor_id': None, 'advertising_id': 'b9649e43-bf12-4308-8df0-3cd73c02baae', 'language': 'en-us', 'is_limited_ad_tracking': 'No', 'time_zone_offset_seconds': 19800, 'browser': None, 'browser_version': None, 'web_info': None}","{'continent': 'Asia', 'country': 'India', 'region': 'Rajasthan', 'city': 'Jaipur', 'sub_continent': 'Southern Asia', 'metro': '(not set)'}","{'id': 'app.merapashu360.buyerapp', 'version': 'Beta 0.1.37', 'install_store': None, 'firebase_app_id': '1:292489922155:android:1470f63f21688e343dd32e', 'install_source': 'com.android.vending'}","{'name': None, 'medium': 'organic', 'source': 'google-play'}",3454048667,ANDROID,,,[]
20221018,1666064236749000,notification_receive,"[{'key': 'message_time', 'value': {'string_value': None, 'int_value': 1666063800, 'float_value': None, 'double_value': None}}, {'key': 'message_id', 'value': {'string_value': '5751597854401063504', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_device_time', 'value': {'string_value': None, 'int_value': 0, 'float_value': None, 'double_value': None}}, {'key': 'firebase_event_origin', 'value': {'string_value': 'fcm', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_name', 'value': {'string_value': 'morning_9:00AM', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'label', 'value': {'string_value': 'free_bucket_sale', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_type', 'value': {'string_value': 'display', 'int_value': None, 'float_value': None, 'double_value': None}}]",1666060991394000,,496,2274276,,09f3d3b811787db5480c97069ae90b66,"{'analytics_storage': 'Yes', 'ads_storage': 'Yes', 'uses_transient_token': 'No'}","[{'key': 'first_open_time', 'value': {'string_value': None, 'int_value': 1661529600000, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1661527812881000}}, {'key': 'firebase_last_notification', 'value': {'string_value': '6481933364152126845', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1664197876729000}}, {'key': 'last_gclid', 'value': {'string_value': 'CjwKCAjwlqOXBhBqEiwA-hhitGzisAMTtSlMexsUg2yDc25VRVRb3osaIb9SrkxMl8QqDRuuLutCCxoCFj0QAvD_BwE', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1661527814090000}}]",1661527812881000,,"{'category': 'mobile', 'mobile_brand_name': 'Realme', 'mobile_model_name': 'RMX3201', 'mobile_marketing_name': 'C21', 'mobile_os_hardware_model': 'RMX3201', 'operating_system': 'Android', 'operating_system_version': 'Android 10', 'vendor_id': None, 'advertising_id': 'e22b74e1-8e24-4102-8ccc-c42138599ce6', 'language': 'en-gb', 'is_limited_ad_tracking': 'No', 'time_zone_offset_seconds': 19800, 'browser': None, 'browser_version': None, 'web_info': None}","{'continent': 'Asia', 'country': 'India', 'region': 'Delhi', 'city': 'Delhi', 'sub_continent': 'Southern Asia', 'metro': '(not set)'}","{'id': 'app.merapashu360.buyerapp', 'version': 'Beta 0.1.32', 'install_store': None, 'firebase_app_id': '1:292489922155:android:1470f63f21688e343dd32e', 'install_source': 'com.android.vending'}","{'name': None, 'medium': 'cpc', 'source': 'google'}",3454048667,ANDROID,,,[]
20221018,1666092111699002,screen_view,"[{'key': 'firebase_previous_id', 'value': {'string_value': None, 'int_value': 4603768318389273635, 'float_value': None, 'double_value': None}}, {'key': 'firebase_screen_id', 'value': {'string_value': None, 'int_value': 4603768318389273636, 'float_value': None, 'double_value': None}}, {'key': 'engagement_time_msec', 'value': {'string_value': None, 'int_value': 20, 'float_value': None, 'double_value': None}}, {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 21, 'float_value': None, 'double_value': None}}, {'key': 'firebase_screen_class', 'value': {'string_value': 'LoginActivity', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}, {'key': 'firebase_previous_screen', 'value': {'string_value': 'Login Screen', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'firebase_previous_class', 'value': {'string_value': 'LoginActivity', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'firebase_event_origin', 'value': {'string_value': 'app', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'firebase_screen', 'value': {'string_value': 'Location Screen', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1666092109, 'float_value': None, 'double_value': None}}]",1666092110938002,,512,886,z6uZZPn7o3Y5VT6lyomi3MbkDZr2,289534a31a126c1e12ebe0f9079c7e0d,"{'analytics_storage': 'Yes', 'ads_storage': 'Yes', 'uses_transient_token': 'No'}","[{'key': 'user_id', 'value': {'string_value': 'z6uZZPn7o3Y5VT6lyomi3MbkDZr2', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1666092109936000}}, {'key': 'first_open_time', 'value': {'string_value': None, 'int_value': 1662793200000, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1662792000956000}}, {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 21, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1666092109877000}}, {'key': 'last_gclid', 'value': {'string_value': 'EAIaIQobChMI9pOzt5vz-QIVPha3AB1SkgkiEAEYASAAEgK4IvD_BwE', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1662792002630000}}, {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1666092109, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1666092109877000}}, {'key': 'firebase_last_notification', 'value': {'string_value': '5751597854401063504', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1665551078697000}}]",1662792000956000,,"{'category': 'mobile', 'mobile_brand_name': 'Samsung', 'mobile_model_name': 'SM-M326B', 'mobile_marketing_name': 'M32 5G', 'mobile_os_hardware_model': 'SM-M326B', 'operating_system': 'Android', 'operating_system_version': 'Android 12', 'vendor_id': None, 'advertising_id': 'b3f99e24-0b6c-4323-a3f1-a8e874bc57b9', 'language': 'en-gb', 'is_limited_ad_tracking': 'No', 'time_zone_offset_seconds': 19800, 'browser': None, 'browser_version': None, 'web_info': None}","{'continent': 'Asia', 'country': 'India', 'region': 'Delhi', 'city': 'Delhi', 'sub_continent': 'Southern Asia', 'metro': '(not set)'}","{'id': 'app.merapashu360.buyerapp', 'version': 'Beta 0.1.39', 'install_store': None, 'firebase_app_id': '1:292489922155:android:1470f63f21688e343dd32e', 'install_source': 'com.android.vending'}","{'name': None, 'medium': 'cpc', 'source': 'google'}",3454048667,ANDROID,,,[]
20221110,1668083461876000,session_start,"[{'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1668083461, 'float_value': None, 'double_value': None}}, {'key': 'session_engaged', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}, {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}, {'key': 'firebase_event_origin', 'value': {'string_value': 'auto', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 9, 'float_value': None, 'double_value': None}}]",1667596168310000,,702,1847137,,897643ae547cf725b74e365058e39433,"{'analytics_storage': 'Yes', 'ads_storage': 'Yes', 'uses_transient_token': 'No'}","[{'key': 'first_open_time', 'value': {'string_value': None, 'int_value': 1662393600000, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1662390871308000}}, {'key': 'last_gclid', 'value': {'string_value': 'CjwKCAjw6raYBhB7EiwABge5KhbKo6ezbKvgvktl1yjqm607AIgjLQg3DOD2YUJ7iHhMKu35nuq50xoCh1QQAvD_BwE', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1662390872535000}}, {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 9, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1668083461876000}}, {'key': 'firebase_last_notification', 'value': {'string_value': '4755030237401675690', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1663934636543000}}, {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1668083461, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1668083461876000}}]",1662390871308000,,"{'category': 'mobile', 'mobile_brand_name': 'Vivo', 'mobile_model_name': 'V2131', 'mobile_marketing_name': 'Y21T', 'mobile_os_hardware_model': 'V2131', 'operating_system': 'Android', 'operating_system_version': 'Android 12', 'vendor_id': None, 'advertising_id': 'd023c02a-3317-4f7a-b7f5-a42c980dcfae', 'language': 'en-us', 'is_limited_ad_tracking': 'No', 'time_zone_offset_seconds': 0, 'browser': None, 'browser_version': None, 'web_info': None}","{'continent': 'Europe', 'country': 'United Kingdom', 'region': 'England', 'city': 'Manchester', 'sub_continent': 'Northern Europe', 'metro': 'North West'}","{'id': 'app.merapashu360.buyerapp', 'version': 'Beta 0.1.51', 'install_store': None, 'firebase_app_id': '1:292489922155:android:1470f63f21688e343dd32e', 'install_source': 'com.android.vending'}","{'name': ""MP360Promotion-19Jul'22"", 'medium': 'cpc', 'source': 'google'}",3454048667,ANDROID,,,[]
20221012,1665590726664000,notification_receive,"[{'key': 'message_device_time', 'value': {'string_value': None, 'int_value': 0, 'float_value': None, 'double_value': None}}, {'key': 'message_name', 'value': {'string_value': 'Night_9:30PM', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'firebase_event_origin', 'value': {'string_value': 'fcm', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_type', 'value': {'string_value': 'display', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_time', 'value': {'string_value': None, 'int_value': 1665590400, 'float_value': None, 'double_value': None}}, {'key': 'label', 'value': {'string_value': 'App-Update', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_id', 'value': {'string_value': '5381422632833662742', 'int_value': None, 'float_value': None, 'double_value': None}}]",1665586255364000,,540,1624617,OBJw4Fy8SmMCwF8tRR2Ghc6mJSF2,e56f02f297f49f6f3a062e2998716ae5,"{'analytics_storage': 'Yes', 'ads_storage': 'Yes', 'uses_transient_token': 'No'}","[{'key': 'first_open_time', 'value': {'string_value': None, 'int_value': 1662613200000, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1662612056115000}}, {'key': 'firebase_last_notification', 'value': {'string_value': '6836537512845310457', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1664395530021000}}, {'key': 'user_id', 'value': {'string_value': 'OBJw4Fy8SmMCwF8tRR2Ghc6mJSF2', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1664395530160000}}]",1662612056115000,,"{'category': 'mobile', 'mobile_brand_name': 'Xiaomi', 'mobile_model_name': 'Redmi Note 5 Pro', 'mobile_marketing_name': None, 'mobile_os_hardware_model': 'Redmi Note 5 Pro', 'operating_system': 'Android', 'operating_system_version': 'Android 9', 'vendor_id': None, 'advertising_id': '581e6890-209a-4ec8-a943-95418479e37e', 'language': 'en-in', 'is_limited_ad_tracking': 'No', 'time_zone_offset_seconds': 19800, 'browser': None, 'browser_version': None, 'web_info': None}","{'continent': 'Asia', 'country': 'India', 'region': 'Delhi', 'city': 'Delhi', 'sub_continent': 'Southern Asia', 'metro': '(not set)'}","{'id': 'app.merapashu360.buyerapp', 'version': 'Beta 0.1.39', 'install_store': None, 'firebase_app_id': '1:292489922155:android:1470f63f21688e343dd32e', 'install_source': 'com.android.vending'}","{'name': None, 'medium': 'organic', 'source': 'google-play'}",3454048667,ANDROID,,,[]
20221028,1666973248013000,notification_receive,"[{'key': 'firebase_event_origin', 'value': {'string_value': 'fcm', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_type', 'value': {'string_value': 'display', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_name', 'value': {'string_value': 'evening_9:30PM', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_device_time', 'value': {'string_value': None, 'int_value': 0, 'float_value': None, 'double_value': None}}, {'key': 'label', 'value': {'string_value': '3_benifits_app', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_id', 'value': {'string_value': '2488529546002584053', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'message_time', 'value': {'string_value': None, 'int_value': 1666972800, 'float_value': None, 'double_value': None}}]",1666969373978000,,540,907,FoAKKcwRzJfPhJNb1ab2oBMrrnB3,1d43860501d0f143c0b3613fa052dbdb,"{'analytics_storage': 'Yes', 'ads_storage': 'Yes', 'uses_transient_token': 'No'}","[{'key': 'first_open_time', 'value': {'string_value': None, 'int_value': 1662822000000, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1662818665135000}}, {'key': 'user_id', 'value': {'string_value': 'FoAKKcwRzJfPhJNb1ab2oBMrrnB3', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1666604347544000}}, {'key': 'firebase_last_notification', 'value': {'string_value': '6481933364152126845', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1665321187598000}}]",1662818665135000,,"{'category': 'mobile', 'mobile_brand_name': 'Infinix', 'mobile_model_name': 'X688B', 'mobile_marketing_name': 'Hot 10 Play', 'mobile_os_hardware_model': 'Infinix X688B', 'operating_system': 'Android', 'operating_system_version': 'Android 11', 'vendor_id': None, 'advertising_id': '8564077d-dbe0-46fa-af6a-6de25791a26d', 'language': 'en-us', 'is_limited_ad_tracking': 'No', 'time_zone_offset_seconds': 19800, 'browser': None, 'browser_version': None, 'web_info': None}","{'continent': 'Asia', 'country': 'India', 'region': 'Uttar Pradesh', 'city': 'Bulandshahr', 'sub_continent': 'Southern Asia', 'metro': '(not set)'}","{'id': 'app.merapashu360.buyerapp', 'version': 'Beta 0.1.45', 'install_store': None, 'firebase_app_id': '1:292489922155:android:1470f63f21688e343dd32e', 'install_source': 'com.android.vending'}","{'name': None, 'medium': 'organic', 'source': 'google-play'}",3454048667,ANDROID,,,[]
20221121,1669019001807000,session_start,"[{'key': 'session_engaged', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}, {'key': 'firebase_event_origin', 'value': {'string_value': 'auto', 'int_value': None, 'float_value': None, 'double_value': None}}, {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 10, 'float_value': None, 'double_value': None}}, {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}, {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1669019001, 'float_value': None, 'double_value': None}}]",1668426939801000,,1038,325941,,59d37ee091dda3746473aa09d95b94e7,"{'analytics_storage': 'Yes', 'ads_storage': 'Yes', 'uses_transient_token': 'No'}","[{'key': 'firebase_last_notification', 'value': {'string_value': '3133039869625309599', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1668426939655000}}, {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1669019001, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1669019001807000}}, {'key': 'last_gclid', 'value': {'string_value': 'CjwKCAjwsMGYBhAEEiwAGUXJadJKSyoY5mmd3dwvQ0hEeT2Eg6Y39TvlGyJfIQY8i6SxYaRRZ-jtURoCCV0QAvD_BwE', 'int_value': None, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1662939806312000}}, {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 10, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1669019001807000}}, {'key': 'first_open_time', 'value': {'string_value': None, 'int_value': 1662940800000, 'float_value': None, 'double_value': None, 'set_timestamp_micros': 1662939803595000}}]",1662939803595000,,"{'category': 'mobile', 'mobile_brand_name': 'Xiaomi', 'mobile_model_name': 'M2006C3LII', 'mobile_marketing_name': 'Redmi 9i', 'mobile_os_hardware_model': 'M2006C3LII', 'operating_system': 'Android', 'operating_system_version': 'Android 10', 'vendor_id': None, 'advertising_id': '1ae5abf1-6369-4df7-a4b7-52b1864ef381', 'language': 'en-in', 'is_limited_ad_tracking': 'No', 'time_zone_offset_seconds': 19800, 'browser': None, 'browser_version': None, 'web_info': None}","{'continent': 'Asia', 'country': 'India', 'region': 'Delhi', 'city': 'Delhi', 'sub_continent': 'Southern Asia', 'metro': '(not set)'}","{'id': 'app.merapashu360.buyerapp', 'version': 'Beta 0.1.51', 'install_store': None, 'firebase_app_id': '1:292489922155:android:1470f63f21688e343dd32e', 'install_source': 'com.android.vending'}","{'name': None, 'medium': 'cpc', 'source': 'google'}",3454048667,ANDROID,,,[]
