field_name,type,mode
user_id,STRING,NULLABLE
app_version,STRING,NULLABLE
traffic_source_source,STRING,NULLABLE
total_session_start_events,INTEGER,NULLABLE
total_feed_home_screen,INTEGER,NULLABLE
total_feed_listing_screen,INTEGER,NULLABLE
total_feed_detail_screen,INTEGER,NULLABLE
total_add_to_cart_events,INTEGER,NULLABLE
total_order_details,INTEGER,NULLABLE
total_purchase_events,INTEGER,NULLABLE
zoho_id,STRING,NULLABLE
phone_number,INTEGER,NULLABLE
orders_count,INTEGER,NULLABLE
w_phone_number,INTEGER,NULLABLE
actual_cash_collected,FLOAT,NULLABLE
Status,STRING,NULLABLE
