field_name,type,mode
cattle_listing_id,INTEGER,NULLABLE
cattle_id,INTEGER,NULLABLE
price,INTEGER,NULLABLE
listing_location,STRING,NULLABLE
listing_lat,FLOAT,NULLABLE
listing_long,FLOAT,NULLABLE
created_on,INTEGER,NULLABLE
is_withdrawn,BOOLEAN,NULLABLE
is_sold,BOOLEAN,NULLABLE
pregnancy_status,INTEGER,NULLABLE
months_of_pregnancy,INTEGER,NULLABLE
milk_avg,FLOAT,NULLABLE
snf,FLOAT,NULLABLE
fat,FLOAT,NULLABLE
created_by,INTEGER,NULLABLE
transportation,STRING,NULLABLE
transport_type_id,INTEGER,NULLABLE
cattle_name,STRING,NULLABLE
cattle_age,INTEGER,NULLABLE
total_calving,INTEGER,NULLABLE
seller_name,STRING,NULLABLE
seller_contact,INTEGER,NULLABLE
sale_date,INTEGER,NULLABLE
total_buyers,INTEGER,NULLABLE
sale_date_ist,INTEGER,NULLABLE
lat_long,STRING,NULLABLE
gmap_lat,FLOAT,NULLABLE
gmap_long,FLOAT,NULLABLE
lat_long_gmap,STRING,NULLABLE
gmap_pincode,INTEGER,NULLABLE
Distance,FLOAT,NULLABLE
gmap_district,STRING,NULLABLE
gmap_state,STRING,NULLABLE
gmap_lat_long,STRING,NULLABLE
gmap_district_state,STRING,NULLABLE
gmap_pincode_district_state,STRING,NULLABLE
month_of_sale,STRING,NULLABLE
week_of_sale,STRING,NULLABLE
year_of_sale,INTEGER,NULLABLE
weekday,STRING,NULLABLE
week_start_date,STRING,NULLABLE
week_end_date,STRING,NULLABLE
sale_week,STRING,NULLABLE
sale_day,STRING,NULLABLE
business_week_name,STRING,NULLABLE
days_to_sell,INTEGER,NULLABLE
