CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
APS CIRCLE,NA,NA,2CBPO,900099,PO,Delivery,KOLKATA,WEST BENGAL,22.5728,88.3475
APS CIRCLE,NA,NA,1CBPO,900056,PO,Delivery,KUSHI NAGAR,UTTAR PRADESH,28.6448,77.2167
Maharashtra Circle,Goa-Panaji Region,Goa Division,Caisua B.O,403509,BO,Delivery,NORTH GOA,GOA,73.2900000,15.8500000
Maharashtra Circle,Goa-Panaji Region,Goa Division,Advalpal B.O,403503,BO,Delivery,NORTH GOA,GOA,72.3000000,16.3000000
Maharashtra Circle,Goa-Panaji Region,Goa Division,Dodamarg B.O,403503,BO,Delivery,NORTH GOA,GOA,72.3000000,16.1000000
Maharashtra Circle,Goa-Panaji Region,Goa Division,Quiranpani B.O,403524,BO,Delivery,NORTH GOA,GOA,73.7100000,15.7000000
Maharashtra Circle,Goa-Panaji Region,Goa Division,Ibrampur B.O,403503,BO,Delivery,NORTH GOA,GOA,72.3000000,16.0700000
Maharashtra Circle,Goa-Panaji Region,Goa Division,Corjuem B.O,403508,BO,Delivery,NORTH GOA,GOA,75.9700000,15.2100000
Maharashtra Circle,Goa-Panaji Region,Goa Division,Nachinola B.O,403508,BO,Non Delivery,NORTH GOA,GOA,73.4600000,15.8000000
Maharashtra Circle,Goa-Panaji Region,Goa Division,Querim B.O,403524,BO,Delivery,NORTH GOA,GOA,75.9600000,15.2900000
