Uid,OfficeName,Pincode,OfficeType,District,StateName,Latitude,Longitude,lat_osm,long_osm,Lat_GMAP,Long_GMAP
143316,Diu SO,362520,PO,DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,20.7188611,70.9856944,20.71418085,70.96878569,,
139671,Ghoghla SO,362540,PO,DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,20.714801,70.985678,20.7260366,70.9843583,,
34638,Bucharvada BO,362570,BO,DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,20.7291717,70.9177572,20.72116462,70.91300628,,
143323,Wanakbara SO,362570,PO,DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,20.714801,70.985678,20.72116462,70.91300628,,
108315,Saravan BO,221705,BO,MAU,UTTAR PRADESH,25.96,83.69,25.94809147,83.62354667,25.9153381,83.6055732
108917,Ardauna BO,221705,BO,MAU,UTTAR PRADESH,25.96,83.69,25.94809147,83.62354667,25.9329726,83.6720756
108918,Chakara BO,221705,BO,MAU,UTTAR PRADESH,25.96,83.69,25.94809147,83.62354667,25.6404959,82.9756933
108919,Talai Pur BO,221705,BO,MAU,UTTAR PRADESH,25.96,83.69,25.94809147,83.62354667,25.9631055,83.6880257
108920,Umapur BO,221705,BO,MAU,UTTAR PRADESH,25.96,83.69,25.94809147,83.62354667,26.6539591,81.6446049
112433,Gahani BO,221705,BO,MAU,UTTAR PRADESH,25.96,83.69,25.94809147,83.62354667,25.9924119,83.7019786
