master_sku,item_name,fob_price,weight,item_category_label
DO-NOT-USE - SILAGE,Premium Silage (प्रीमियम साइलेज),,0.0,Silage
AFPS100,Promaize Silage (प्रो-मेज़ (मक्का) सायलेज),645.0,100.0,Silage
AFSA100,Premium Silage (प्रीमियम साइलेज),585.0,100.0,Silage
AFRSMDOC50,Ruchi Soya Mustard DOC/50 kg,1000.0,50.0,Sarso Khal
AFMDC100,Goyal Mustard Deoiled Cake,,100.0,Sarso Khal
AFSASC45,Sarso Cake,1206.0,45.0,Sarso Khal
AFKSC45,Sarso Ki Kachi Khal ( सरसो की कच्ची खल - घानी वाली ),1204.0,45.0,Sarso Khal
AFRSMDOC45,Premium Sarso Ki Pakki Khal (प्रीमियम सरसो की पक्की खल),945.0,45.0,Sarso Khal
AFGDC40,Godrej Doublecan Cotton Cake/40 kg,1710.0,40.0,Binola Khal
AFPCS40,Punjab Cotton Seed/40 kg,1496.0,40.0,Binola Khal
