field_name,type,mode
Sales_Orders_Sales_order_ID,INTEGER,NULLABLE
Sales_Orders_Order_Date,DATE,NULLABLE
Sales_Orders_Sales_Order_,STRING,NULLABLE
Sales_Orders_Status,STRING,NULLABLE
Sales_Orders_Sub_Total__BCY_,FLOAT,NULLABLE
Sales_Orders_Total__BCY_,FLOAT,NULLABLE
Sales_Orders_Discount_Amount__BCY_,FLOAT,NULLABLE
Sales_Orders_Adjustment__BCY_,FLOAT,NULLABLE
Sales_Orders_Created_Time,TIMESTAMP,NULLABLE
Sales_Orders_Customer_ID,INTEGER,NULLABLE
Sales_Orders_Currency_Code,STRING,NULLABLE
Sales_Orders_Exchange_Rate,FLOAT,NULLABLE
Sales_Orders_Discount____,FLOAT,NULLABLE
Sales_Orders_Last_Modified_Time,TIMESTAMP,NULLABLE
Sales_Orders_Expected_Shipment_Date,DATE,NULLABLE
Sales_Orders_CRM_Reference_ID,INTEGER,NULLABLE
Sales_Orders_Invoiced_Status,STRING,NULLABLE
Sales_Orders_Paid_Status,STRING,NULLABLE
Sales_Orders_Sales_Channel,STRING,NULLABLE
Sales_Orders_Sales_Person_ID,INTEGER,NULLABLE
Sales_Orders_Source,STRING,NULLABLE
Sales_Orders_Reason_for_cancel,STRING,NULLABLE
Sales_Orders_Branch_ID,INTEGER,NULLABLE
Sales_Orders_Rescheduling_Status,STRING,NULLABLE
Sales_Orders_Notes,STRING,NULLABLE
Sales_Orders_Sales_Team,STRING,NULLABLE
Sales_Orders_Reference_Number,STRING,NULLABLE
Sales_Order_Items_Item_ID,INTEGER,NULLABLE
Sales_Order_Items_Product_ID,INTEGER,NULLABLE
Sales_Order_Items_Item_Name,STRING,NULLABLE
Sales_Order_Items_Quantity,FLOAT,NULLABLE
Sales_Order_Items_Sub_Total__BCY_,FLOAT,NULLABLE
Sales_Order_Items_Total__BCY_,FLOAT,NULLABLE
Sales_Order_Items_Project_ID,STRING,NULLABLE
Sales_Order_Items_Last_Modified_Time,TIMESTAMP,NULLABLE
Sales_Order_Items_Created_Time,TIMESTAMP,NULLABLE
Sales_Order_Items_Quantity_Invoiced,FLOAT,NULLABLE
Sales_Order_Items_Quantity_Cancelled,FLOAT,NULLABLE
Sales_Order_Items_Quantity_Packed,FLOAT,NULLABLE
Sales_Order_Items_Quantity_Shipped,FLOAT,NULLABLE
Sales_Order_Items_Quantity_Delivered,FLOAT,NULLABLE
Sales_Order_Items_Non_Package_Quantity,FLOAT,NULLABLE
Sales_Order_Items_Product_Category,STRING,NULLABLE
Items_Status,STRING,NULLABLE
Items_Purchase_Account,INTEGER,NULLABLE
Items_Sales_Account,INTEGER,NULLABLE
Items_Type,STRING,NULLABLE
Items_Purchase_Price,FLOAT,NULLABLE
Items_Usage_unit,STRING,NULLABLE
Items_Sales_Price,FLOAT,NULLABLE
Items_CRM_Reference_ID,INTEGER,NULLABLE
Items_Returnable_Items,BOOLEAN,NULLABLE
Items_Last_Modified_Time,TIMESTAMP,NULLABLE
Items_Created_Time,TIMESTAMP,NULLABLE
