field_name,type,mode
Customer_ID,INTEGER,NULLABLE
Customer_Name,STRING,NULLABLE
Display_Name,STRING,NULLABLE
Status,STRING,NULLABLE
Created_Time,TIMESTAMP,NULLABLE
Company_Name,STRING,NULLABLE
First_Name,STRING,NULLABLE
Last_Name,STRING,NULLABLE
Last_Modified_Time,TIMESTAMP,NULLABLE
CRM_Reference_ID,INTEGER,NULLABLE
Phone,STRING,NULLABLE
Mobile_Phone,STRING,NULLABLE
Source,STRING,NULLABLE
Email,STRING,NULLABLE
Salutation,STRING,NULLABLE
Payment_Terms,STRING,NULLABLE
Place_Of_Supply,STRING,NULLABLE
Tax_Exemption_ID,INTEGER,NULLABLE
GST_Treatment,STRING,NULLABLE
GSTIN,STRING,NULLABLE
Currency_Code,STRING,NULLABLE
Notes,STRING,NULLABLE
Website,STRING,NULLABLE
Created_By,INTEGER,NULLABLE
Modified_By,INTEGER,NULLABLE
Customer_Owner_ID,STRING,NULLABLE
PriceList_ID,INTEGER,NULLABLE
Credit_Limit,STRING,NULLABLE
Customer_Sub_Type,STRING,NULLABLE
Default_Address_ID,INTEGER,NULLABLE
Opening_Balance,STRING,NULLABLE
Bank_Account_Payment,BOOLEAN,NULLABLE
PAN_Number,STRING,NULLABLE
Business_Type,STRING,NULLABLE
Father_s_Name,STRING,NULLABLE
Nick_Name,STRING,NULLABLE
Last_Order_Date,STRING,NULLABLE
