field_name,type,mode
Address_ID,STRING,NULLABLE
Customer_ID,STRING,NULLABLE
Created_Time,STRING,NULLABLE
Last_Modified_Time,STRING,NULLABLE
Shipping_City,STRING,NULLABLE
Shipping_State,STRING,NULLABLE
Shipping_Country,STRING,NULLABLE
Shipping_Code,STRING,NULLABLE
Billing_City,STRING,NULLABLE
Billing_State,STRING,NULLABLE
Billing_Country,STRING,NULLABLE
Billing_Code,STRING,NULLABLE
Shipping_Address_Attention,STRING,NULLABLE
Shipping_Street,STRING,NULLABLE
Billing_Address_Attention,STRING,NULLABLE
Billing_Street,STRING,NULLABLE
Shipping_Street_2,STRING,NULLABLE
Billing_Street_2,STRING,NULLABLE
