field_name,type,mode
testOrder,BOOLEAN,NULLABLE
status,STRING,NULLABLE
paidAmount,STRING,NULLABLE
payments,STRING,NULLABLE
discounts,STRING,NULLABLE
orderDate,TIMESTAMP,NULLABLE
shipments,STRING,NULLABLE
invoices,STRING,NULLABLE
customer,STRING,NULLABLE
lineItems,STRING,NULLABLE
shippingAddress,STRING,NULLABLE
billingAddress,STRING,NULLABLE
selectedPaymentMethod,STRING,NULLABLE
metaFields,STRING,NULLABLE
orderNumber,INTEGER,NULLABLE
_id,STRING,NULLABLE
netTotal,STRING,NULLABLE
estimatedDeliveryDate,TIMESTAMP,NULLABLE
salesChannelInfo,STRING,NULLABLE
netPayable,STRING,NULLABLE
