field_name,type,mode
sellerLocation,JSON,NULLABLE
sellerName,STRING,NULLABLE
procurementAdvice,JSON,NULLABLE
lactationNumber,INTEGER,NULLABLE
readyMilk,JSON,NULLABLE
sellersExpectedPrice,JSON,NULLABLE
id,STRING,NULLABLE
modelSuggestedPrice,JSON,NULLABLE
createdBy,STRING,NULLABLE
requestNumber,INTEGER,NULLABLE
timestamp,TIMESTAMP,NULLABLE
phoneNumber,STRING,NULLABLE
animalType,STRING,NULLABLE
otherDetails,STRING,NULLABLE
updatedAt,TIMESTAMP,NULLABLE
status,STRING,NULLABLE
accompanyingChildGender,STRING,NULLABLE
breed,STRING,NULLABLE
parturitionDate,TIMESTAMP,NULLABLE
rejectionReason,STRING,NULLABLE
bcs,FLOAT,NULLABLE
