field_name,type,mode
direction,STRING,NULLABLE
status,STRING,NULLABLE
call_id,FLOAT,NULLABLE
client_number,INTEGER,NULLABLE
did_number,INTEGER,NULLABLE
call_flow,STRING,NULLABLE
department_name,STRING,NULLABLE
voicemail_recording,BOOLEAN,NULLABLE
call_duration,FLOAT,NULLABLE
answered_seconds,FLOAT,NULLABLE
hangup_cause,STRING,NULLABLE
notes,STRING,NULLABLE
dtmf_input,STRING,NULLABLE
recording_url,STRING,NULLABLE
circle,STRING,NULLABLE
operator,STRING,NULLABLE
reason,STRING,NULLABLE
agent_hangup_data,STRING,NULLABLE
custom_status,STRING,NULLABLE
missed_agents,STRING,NULLABLE
agent_ring_time,STRING,NULLABLE
date,STRING,NULLABLE
time,TIME,NULLABLE
agent_name,STRING,NULLABLE
agent_number,INTEGER,NULLABLE
