field_name,type,mode
user_id,STRING,NULLABLE
event_date,DATE,NULLABLE
event_count,INTEGER,NULLABLE
TOD,INTEGER,NULLABLE
DOW,INTEGER,NULLABLE
traffic_source_source,STRING,NULLABLE
app_version,STRING,NULLABLE
state,STRING,NULLABLE
city,STRING,NULLABLE
total_installs,INTEGER,NULLABLE
total_unique_events,INTEGER,NULLABLE
total_unique_engaging_events,INTEGER,NULLABLE
total_purchase_events,INTEGER,NULLABLE
is_purchaser,INTEGER,NULLABLE
is_signed,INTEGER,NULLABLE
is_intereseted_in_cattle,INTEGER,NULLABLE
is_intereseted_in_cattle_feed,INTEGER,NULLABLE
is_intereseted_in_milk,INTEGER,NULLABLE
BROWSE_PRODUCTS_ROW_SWIPE_EMPTY_ORDER_count,INTEGER,NULLABLE
CUSTOMER_TESTIMONIAL_VIDEO_PLAYED_count,INTEGER,NULLABLE
Concentrate_feed_category_selected_count,INTEGER,NULLABLE
Khal_feed_category_selected_count,INTEGER,NULLABLE
PRODUCT_CARD_ON_EMPTY_CART_SCREEN_CLICK_count,INTEGER,NULLABLE
PRODUCT_CARD_ON_EMPTY_ORDER_SCREEN_CLICK_count,INTEGER,NULLABLE
Referral_Share_count,INTEGER,NULLABLE
Register_Referral_count,INTEGER,NULLABLE
send_otp_button_clicked_count,INTEGER,NULLABLE
verify_otp_button_clicked_count,INTEGER,NULLABLE
child_button_clicked_count,INTEGER,NULLABLE
Share_Via_App_count,INTEGER,NULLABLE
Generate_Referral_DynamicLink_count,INTEGER,NULLABLE
begin_book_appointment_count,INTEGER,NULLABLE
view_video_button_clicked_count,INTEGER,NULLABLE
screen_view_count,INTEGER,NULLABLE
firebase_campaign_count,INTEGER,NULLABLE
first_open_count,INTEGER,NULLABLE
dynamic_link_app_open_count,INTEGER,NULLABLE
app_exception_count,INTEGER,NULLABLE
teat_button_clicked_count,INTEGER,NULLABLE
Share_Via_Share_Button_count,INTEGER,NULLABLE
select_content_count,INTEGER,NULLABLE
app_clear_data_count,INTEGER,NULLABLE
sign_up_count,INTEGER,NULLABLE
view_item_count,INTEGER,NULLABLE
price_filter_selected_count,INTEGER,NULLABLE
PRODUCT_CARD_ON_EMPTY_CART_SCREEN_CLICKED_count,INTEGER,NULLABLE
user_engagement_count,INTEGER,NULLABLE
estimated_value_cattle_button_cliced,INTEGER,NULLABLE
upload_back_photo_button_clicked_count,INTEGER,NULLABLE
total_session_counts,INTEGER,NULLABLE
total_add_to_cart_events,INTEGER,NULLABLE
total_notification_open,INTEGER,NULLABLE
total_notification_dismiss,INTEGER,NULLABLE
app_update_popup_dismissed_count,INTEGER,NULLABLE
total_app_update_popup_shown,INTEGER,NULLABLE
total_app_remove_count,INTEGER,NULLABLE
total_sell_your_cattle_button_clicked,INTEGER,NULLABLE
total_faq_button_clickd,INTEGER,NULLABLE
app_update_button_clicked_count,INTEGER,NULLABLE
total_app_update,INTEGER,NULLABLE
total_language_change,INTEGER,NULLABLE
total_begin_checkout,INTEGER,NULLABLE
total_book_appointment,INTEGER,NULLABLE
total_dynamic_link_app_update,INTEGER,NULLABLE
total_share_animal_details_button_clicked,INTEGER,NULLABLE
total_calving_filter_selected,INTEGER,NULLABLE
total_breed_filter_selected,INTEGER,NULLABLE
Share_Via_App_selected,INTEGER,NULLABLE
Silage_feed_category_selected_count,INTEGER,NULLABLE
profile_button_clicked_count,INTEGER,NULLABLE
sell_more_cattle_button_clicked_count,INTEGER,NULLABLE
pregnancy_button_clicked_count,INTEGER,NULLABLE
parturition_filter_selected_count,INTEGER,NULLABLE
os_update_count,INTEGER,NULLABLE
notification_receive_count,INTEGER,NULLABLE
notification_foreground_count,INTEGER,NULLABLE
milk_filter_selected_count,INTEGER,NULLABLE
measurements_button_clicked_count,INTEGER,NULLABLE
faq_question_expanded_count,INTEGER,NULLABLE
dynamic_link_first_open_count,INTEGER,NULLABLE
