project_id,dataset_id
hubemployee-189ad,KUBERDHAN
hubemployee-189ad,QC
hubemployee-189ad,SO_TEMP
hubemployee-189ad,Tata_Tele
hubemployee-189ad,Youtube_Scraped_Data
hubemployee-189ad,ZOHO_CRM
hubemployee-189ad,Zoho_Inventory
hubemployee-189ad,analytics_274239098
hubemployee-189ad,buffalo_pricing_dev
hubemployee-189ad,comp4_dataset
hubemployee-189ad,ds_app_analytics
hubemployee-189ad,ds_comp_2
hubemployee-189ad,ds_comp_4
hubemployee-189ad,ds_location_db
hubemployee-189ad,ds_logistics
hubemployee-189ad,ds_test
hubemployee-189ad,ds_zoho_dump
hubemployee-189ad,github_source_data
hubemployee-189ad,missing_pincode_analysis_temp
hubemployee-189ad,obno
hubemployee-189ad,testing_skyvia
